model,scheme,paper_TTLT,before_TTLT,after_TTLT,afterc_TTLT,afterc_TTLT_std,afterc_P99TPOT,before_Ovhd,after_Ovhd,afterc_Ovhd,before_Nrec,after_Nrec,afterc_Nrec,before_a_changed_pct,after_a_changed_pct,afterc_a_changed_pct
qwen3-14b,SDA,425.16,407.0551,416.8531,324.1116,58.7457,34.3641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3-14b,RT,488.17,504.8134,394.9635,293.1079,33.7647,28.7528,94.9438,31.3815,23.4068,10.4333,3.7667,3.3667,1.3911111111111112,0.37333333333333335,0.23555555555555555
qwen3-14b,FM,416.5,395.9595,376.0595,282.3792,18.6327,29.9412,19.3501,14.2871,8.0611,2.8667,2.5,2.2,0.27555555555555555,0.16444444444444445,0.057777777777777775
qwen3-14b,DACI,371.89,370.4539,372.0921,287.0985,35.0309,30.2383,6.1839,5.9545,6.0473,2.4333,2.3667,2.4,0.0,0.0,0.0
gemma3-4b,SDA,,95.3905,95.3905,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,
gemma3-4b,RT,,113.3333,109.9595,,,,9.4375,22.2907,,2.4333,6.1333,,0.3244444444444444,0.76,
gemma3-4b,FM,,117.1039,100.3182,,,,5.1096,12.225,,1.2667,3.3333,,0.1688888888888889,0.4444444444444444,
gemma3-4b,DACI,,95.9077,95.9077,,,,0.2077,0.2077,,0.2667,0.2667,,0.0,0.0,
llama-3-8b,SDA,,178.1313,178.1313,135.9958,29.5307,14.7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3-8b,RT,,167.7999,149.4614,114.3702,13.7011,12.1056,15.6277,13.7132,6.8541,2.9333,4.4,3.6,0.39111111111111113,0.3244444444444444,0.09333333333333334
llama-3-8b,FM,,147.8978,144.1341,115.9807,13.3678,11.9229,6.0611,7.478,5.3033,1.5667,1.5333,1.9,0.1511111111111111,0.1688888888888889,0.06222222222222222
llama-3-8b,DACI,,148.2938,148.2938,120.6065,23.4019,12.5182,3.5604,3.5604,3.9702,2.4333,2.4333,2.0,0.0,0.0,0.0
